name,artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,0.587,0.299,-7.365,0.0263,0.779,0,0.123,0.356,94.992,259550
Coraz?n (feat. Nego do Borel),Maluma,0.722,0.738,-6.073,0.247,0.328,1.47E-05,0.198,0.748,198.075,184720
Young Dumb & Broke,Khalid,0.798,0.539,-6.351,0.0421,0.199,1.66E-05,0.165,0.394,136.949,202547
S?guelo Bailando,Ozuna,0.855,0.664,-7.11,0.0607,0.165,3.97E-05,0.0937,0.626,98.015,226800
Downtown,Anitta,0.775,0.679,-4.985,0.135,0.18,7.26E-05,0.068,0.619,166.008,193456
Bella,Wolfine,0.909,0.493,-6.688,0.0735,0.128,0.000147,0.127,0.844,94.016,197120
Promises (with Sam Smith),Calvin Harris,0.781,0.768,-5.991,0.0394,0.0119,4.91E-06,0.325,0.486,123.07,213309
Yes Indeed,Lil Baby,0.964,0.346,-9.309,0.53,0.035,0,0.108,0.562,119.958,142273
I Like Me Better,Lauv,0.752,0.505,-7.621,0.253,0.535,2.55E-06,0.104,0.419,91.97,197437
This Is Me,Keala Settle,0.284,0.704,-7.276,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707
Everybody Dies In Their Nightmares,XXXTENTACION,0.734,0.57,-7.066,0.133,0.847,2.14E-05,0.112,0.689,129.953,95467
Rewrite The Stars,Zac Efron,0.684,0.619,-7.005,0.0386,0.0716,0,0.122,0.284,125.046,217440
I Miss You (feat. Julia Michaels),Clean Bandit,0.638,0.658,-6.318,0.0456,0.245,3.77E-06,0.0919,0.33,105.076,205748
No Brainer,DJ Khaled,0.552,0.76,-4.706,0.342,0.0733,0,0.0865,0.639,135.702,260000
Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.437,-6.593,0.039,0.101,1.27E-06,0.106,0.0967,180.043,239000
Be Alright,Dean Lewis,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684,196373
